N_exp  P1   u_isw   T2    P2    T5    P5   ro2ro1 ro5ro1    n1       n2        n5     
SD    0.011  817   726   0.099 1177  0.457 3.636  2.847  2.718e+17 9.883e+17 2.813e+18 
ed    0.011  817   726   0.099 1177  0.457 3.636  10.351 2.718e+17 9.883e+17 2.813e+18 
